raw_ingredient,normalized_ingredient,occurrence_count,suggested_canonical_molecule,confidence_score,review_status
2-oxo-3-phenyl propionic acid (Alpha- ketoanalogue of phenylalanine),2-oxo-3-phenyl Propionic Acid (alpha- Ketoanalogue of Phenylalanine),7,2-oxo-3-phenyl propionic acid (Alpha- ketoanalogue of phenylalanine),0.99,auto_candidate
3-methyl-2-oxo-butyric acid(Alpha-ketoanalogue to valine),3-methyl-2-oxo-butyric Acid(alpha-ketoanalogue To Valine),7,3-methyl-2-oxo-butyric acid(Alpha-ketoanalogue to valine),0.99,auto_candidate
4-methyl-2-oxo-valeric acid (Alpha-ketoanalogue of leucine),4-methyl-2-oxo-valeric Acid (alpha-ketoanalogue of Leucine),7,4-methyl-2-oxo-valeric acid (Alpha-ketoanalogue of leucine),0.99,auto_candidate
Acefylline Piperazine and Diphenhydramine HCl,Acefylline Piperazine and Diphenhydramine Hcl,7,Acefylline Piperazine and Diphenhydramine HCl,0.99,auto_candidate
Alendronate(as Sodium),Alendronate(as Sodium),7,Alendronate(as Sodium),0.99,auto_candidate
Amoxacillin (as trihydrate),Amoxacillin (as Trihydrate),7,Amoxacillin (as trihydrate),0.99,auto_candidate
Artemether / Lumefantrine,Artemether / Lumefantrine,7,Artemether / Lumefantrine,0.99,auto_candidate
Artemether / Lumefentrine,Artemether / Lumefentrine,7,Artemether / Lumefentrine,0.99,auto_candidate
Artemether and lumefantrine,Artemether and Lumefantrine,7,Artemether and lumefantrine,0.99,auto_candidate
Artemether+ lumefantrine,Artemether + Lumefantrine,7,Artemether + Lumefantrine,0.99,auto_candidate
Avian Encephalomyelitis Virus (Calnek 1143 strain),Avian Encephalomyelitis Virus (calnek 1143 Strain),7,Avian Encephalomyelitis Virus (Calnek 1143 strain),0.99,auto_candidate
Avian influenza inactivated virus (H9 serotype),Avian Influenza Inactivated Virus (h9 Serotype),7,Avian influenza inactivated virus (H9 serotype),0.99,auto_candidate
Azithromycin(as dihydrate),Azithromycin(as Dihydrate),7,Azithromycin as dihydrate eq. Azithromycin,0.99,auto_candidate
Cefalexine Monohydrate eq to Cefalexine 15gm,Cefalexine Monohydrate Eq To Cefalexine 15gm,7,Cefalexine Monohydrate eq to Cefalexine 15gm,0.99,auto_candidate
Cefepime as HCl+Arginine,Cefepime As Hcl + Arginine,7,cefepime as HCL,0.99,auto_candidate
Cefoperazone (as Sodium) + Sulbactum (as Sodium),Cefoperazone (as Sodium) + Sulbactum (as Sodium),7,Cefoperazone (as Sodium) + Sulbactum (as Sodium),0.99,auto_candidate
Cefoperazone (as Sodium) + Sulbactum (as Sodium))),Cefoperazone (as Sodium) + Sulbactum (as Sodium))),7,Cefoperazone (as Sodium) + Sulbactum (as Sodium))),0.99,auto_candidate
Cefoperazone as Sodium and Sulbactam as Sodium,Cefoperazone As Sodium and Sulbactam As Sodium,7,Cefoperazone as sodium + Sulbactam as sodium,0.99,auto_candidate
Cefoperazone as Sodium and Sulbactam as Sodium.,Cefoperazone As Sodium and Sulbactam As Sodium.,7,Cefoperazone as sodium + Sulbactam as sodium,0.99,auto_candidate
Cefoperazone sodium and sulbactam sodium,Cefoperazone Sodium and Sulbactam Sodium,7,Cefoperazone sodium and sulbactam sodium,0.99,auto_candidate
Ceforerazone as sodium,Ceforerazone As Sodium,7,Ceforerazone as sodium,0.99,auto_candidate
Ceftazidime Pentahydrate eq. to ceftazidime with L-arginine ...500,Ceftazidime Pentahydrate Eq To Ceftazidime With L-arginine ...500,7,Ceftazidime Pentahydrate eq. to ceftazidime with L-arginine ...500,0.99,auto_candidate
Cephadroxil as Monohydrate,Cephadroxil As Monohydrate,7,Cephadroxil as Monohydrate,0.99,auto_candidate
Chloroheniramine as maleate,Chloroheniramine As Maleate,7,Chloroheniramine as maleate,0.99,auto_candidate
Clopidogrel (As Clopidogrel Bisulphate) / Aspirin,Clopidogrel (as Clopidogrel Bisulphate) / Aspirin,7,Clopidogrel (As Clopidogrel Bisulphate) / Aspirin,0.99,auto_candidate
Clopidogrel (As Clopidogrel Bisulphate)/Aspirin,Clopidogrel (as Clopidogrel Bisulphate) / Aspirin,7,Clopidogrel (As Clopidogrel Bisulphate) / Aspirin,0.99,auto_candidate
D1-2-hydroxy-4-methylthiobutyric (Alpha-ketoanalogue of methionine),D1-2-hydroxy-4-methylthiobutyric (alpha-ketoanalogue of Methionine),7,D1-2-hydroxy-4-methylthiobutyric (Alpha-ketoanalogue of methionine),0.99,auto_candidate
D1-3-methyl-2-oxo-valeric acid (Alpha-ketoanalogue of DL-isoleucine),D1-3-methyl-2-oxo-valeric Acid (alpha-ketoanalogue of Dl-isoleucine),7,D1-3-methyl-2-oxo-valeric acid (Alpha-ketoanalogue of DL-isoleucine),0.99,auto_candidate
Desmopressin Acetate Hydrate eq to Desmopressin 0.534mg,Desmopressin Acetate Hydrate Eq To Desmopressin 0.534mg,7,Desmopressin Acetate Hydrate eq to Desmopressin 0.534mg,0.99,auto_candidate
Diosmectite (Dioctahedral Smectite),Diosmectite (dioctahedral Smectite),7,Diosmectite (Dioctahedral Smectite),0.99,auto_candidate
Each 100ml contains Oxyclozanide 3gm Levamisole HCl 1.5gm Cobalt chloride 0.382gm (As per Innovator’s Specifications),Each 100ml Contains Oxyclozanide 3gm Levamisole Hcl 1.5gm Cobalt Chloride 0.382gm (as Per Innovator’s Specifications),7,Each 100ml contains Oxyclozanide 3gm Levamisole HCl 1.5gm Cobalt chloride 0.382gm (As per Innovator’s Specifications),0.99,auto_candidate
Each film coated tablet contains: Paroxitine HCL ............20mg (USP Specification),Each Film Coated Tablet Contains: Paroxitine Hcl ............20mg (usp Specification),7,Each film coated tablet contains: Paroxitine HCL ............20mg (USP Specification),0.99,auto_candidate
Each film coated tablet contains:- Itopride HCI...........50mg (Manufacturer Specification),Each Film Coated Tablet Contains:- Itopride Hci...........50mg (manufacturer Specification),7,Each film coated tablet contains:- Itopride HCI...........50mg (Manufacturer Specification),0.99,auto_candidate
Each Levofloxacin (as hemihydrate),Each Levofloxacin (as Hemihydrate),7,Each Levofloxacin (as hemihydrate),0.99,auto_candidate
Each Tablet Contains:- Levodopa.........250mg Carbidopa .........25mg (USP Specification),Each Tablet Contains:- Levodopa.........250mg Carbidopa .........25mg (usp Specification),7,Each Tablet Contains:- Levodopa.........250mg Carbidopa .........25mg (USP Specification),0.99,auto_candidate
Each vial contains: PipeTazobactam (as Sodium),Each Vial Contains: Pipetazobactam (as Sodium),7,Each vial contains: PipeTazobactam (as Sodium),0.99,auto_candidate
Enteric coated pellets of Lansoprazole Magnesium Trihydrate eq. to Lansoprazole,Enteric Coated Pellets of Lansoprazole Magnesium Trihydrate Eq To Lansoprazole,7,Enteric coated pellets of Lansoprazole Magnesium Trihydrate eq. to Lansoprazole,0.99,auto_candidate
Furaltadone.,Furaltadone.,7,Furaltadone.,0.99,auto_candidate
Hydroxychloroquine 155mg eq. to Hydroxychloroquine Sulphate,Hydroxychloroquine 155mg Eq To Hydroxychloroquine Sulphate,7,Hydroxychloroquine 155mg eq. to Hydroxychloroquine Sulphate,0.99,auto_candidate
Hypermelose (HPMC),Hypermelose (hpmc),7,Hypermelose (HPMC),0.99,auto_candidate
Insulin (Biphasic Isophane 70/30),Insulin (biphasic Isophane 70 / 30),7,Insulin (Biphasic Isophane 70/30),0.99,auto_candidate
Iron Polymaltose+Folic acid,Iron Polymaltose + Folic Acid,7,Iron Polymaltose + Folic acid,0.99,auto_candidate
ITA NEW (ND),Ita New (nd),7,ITA NEW (ND),0.99,auto_candidate
Levoflocxacin as Hemihydrate,Levoflocxacin As Hemihydrate,7,Levoflocxacin as Hemihydrate,0.99,auto_candidate
Lodoxamide trometamol eq. to lodoxamine,Lodoxamide Trometamol Eq To Lodoxamine,7,Lodoxamide trometamol eq. to lodoxamine,0.99,auto_candidate
Newcastle virus (B1 Strain) not less than,Newcastle Virus (b1 Strain) Not Less Than,7,Newcastle virus (B1 Strain) not less than,0.99,auto_candidate
Omeprazole(as enteric coated Pellets,Omeprazole(as Enteric Coated Pellets,7,Omeprazole(as enteric coated Pellets,0.99,auto_candidate
Omeprazole(as enteric coated Pellets),Omeprazole(as Enteric Coated Pellets),7,Omeprazole as enteric coated pellets eq. to Omeprazole,0.99,auto_candidate
Pantoprazole(as pantoprazole sodium lyophilized powder),Pantoprazole(as Pantoprazole Sodium Lyophilized Powder),7,pantoprazole,0.99,auto_candidate
Paroxetine(as HCL),Paroxetine(as Hcl),7,PAROXETINE (HCL) EQ TO PAROXETINE,0.99,auto_candidate
Pasteurella Multocida 86-1913 Strain (Type 3x4),Pasteurella Multocida 86-1913 Strain (type 3x4),7,Pasteurella Multocida 86-1913 Strain (Type 3x4),0.99,auto_candidate
Pasteurella Multocida P-1662 Strain (Type 4),Pasteurella Multocida P-1662 Strain (type 4),7,Pasteurella Multocida P-1662 Strain (Type 4),0.99,auto_candidate
Pasteurella Multocida X-73 Strain (Type 1),Pasteurella Multocida X-73 Strain (type 1),7,Pasteurella Multocida X-73 Strain (Type 1),0.99,auto_candidate
Pentazocin(as HCL),Pentazocin(as Hcl),7,Pentazocin (as lactate),0.99,auto_candidate
Phaniramine as Maleate,Phaniramine As Maleate,7,Phaniramine as Maleate,0.99,auto_candidate
Pioglitazone HCl + Glimipiride,Pioglitazone Hcl + Glimipiride,7,Pioglitazone HCl + Glimipiride,0.99,auto_candidate
Pioglitazone(as HCL),Pioglitazone(as Hcl),7,Pioglitazone(as HCL),0.99,auto_candidate
Piperacillin (as Sodium),Piperacillin (as Sodium),7,Piperacillin (as Sodium),0.99,auto_candidate
Procyclidine as HCl,Procyclidine As Hcl,7,Procyclidine as HCl,0.99,auto_candidate
Purified Inactivated Japanese Encephalitis Virus Strain (SA 14-14-2),Purified Inactivated Japanese Encephalitis Virus Strain (sa 14-14-2),7,Purified Inactivated Japanese Encephalitis Virus Strain (SA 14-14-2),0.99,auto_candidate
Purified Inactivated Japanese Encephalitis Virus Vaccine Strain (SA 14-14-2),Purified Inactivated Japanese Encephalitis Virus Vaccine Strain (sa 14-14-2),7,Purified Inactivated Japanese Encephalitis Virus Vaccine Strain (SA 14-14-2),0.99,auto_candidate
Quetiapine(as Fumarate),Quetiapine(as Fumarate),7,Quetiapine as furmarate,0.99,auto_candidate
"Virus of Newcastle Disease, Live and Attenuated Strain Hitchner B1","Virus of Newcastle Disease, Live and Attenuated Strain Hitchner B1",7,"Virus of Newcastle Disease, Live and Attenuated Strain Hitchner B1",0.99,auto_candidate
Vital Catgut Chromic Suture (Absorbable),Vital Catgut Chromic Suture (absorbable),7,Vital Catgut Chromic Suture (Absorbable),0.99,auto_candidate
Vital Polyglactin Plus Suture (Absorbable),Vital Polyglactin Plus Suture (absorbable),7,Vital Polyglactin Plus Suture (Absorbable),0.99,auto_candidate
Artemether...40/240mg,Artemether...40 / 240mg,7,Artemether...40/240mg,0.96,auto_candidate
ITA ND+IBD Vaccine,Ita Nd + Ibd Vaccine,7,ITA ND+IBD Vaccine,0.96,auto_candidate
Methylprednisolone Aceponate 0.1% w/w,Methylprednisolone Aceponate 0.1% W / W,7,Methylprednisolone Aceponate 0.1% w/w,0.96,auto_candidate
salbutamol/guaiphenesin,Salbutamol / Guaiphenesin,7,salbutamol/guaiphenesin,0.96,auto_candidate
iron-(III) Hydroxide polymaltose complex equivalent to Elemental iron,Iron-(iii) Hydroxide Polymaltose Complex Eq To Elemental Iron,7,Elemental Iron (III) as Iron Sucrose,0.92,review_candidate
Iron-(III)Hydroxide polymaltose complex equivalent to Elementral iron,Iron-(iii)hydroxide Polymaltose Complex Eq To Elementral Iron,7,Elemental Iron,0.92,review_candidate
Sustained release pellets 80.0%w/w of Mebeverine Hydrochloride,Sustained Release Pellets 80.0%w / W of Mebeverine Hydrochloride,7,Sustained release pellets 80.0%w/w of Mebeverine Hydrochloride,0.83,review_candidate
Tylvalosin ( as Tylvalosin Tartrate)....62.5% w/w,Tylvalosin ( As Tylvalosin Tartrate)....62.5% W / W,7,Tylvalosin ( as Tylvalosin Tartrate)....62.5% w/w,0.83,review_candidate
Anhydrous dextrose B.P.,Anhydrous Dextrose B.p.,6,Anhydrous dextrose B.P.,0.99,auto_candidate
Beraprost as Sodium,Beraprost As Sodium,6,Beraprost as Sodium,0.99,auto_candidate
Cefepime as Hydrochloride with sterile arginine,Cefepime As Hydrochloride With Sterile Arginine,6,cefepime as HCL,0.99,auto_candidate
Cefepime as Hydrochloride with sterile L-arginine,Cefepime As Hydrochloride With Sterile L-arginine,6,cefepime as HCL,0.99,auto_candidate
Clobetasol Propionate 0.5% + Add Missing Composition(s),Clobetasol Propionate 0.5% + Add Missing Composition(s),6,Clobetasol Propionate 0.5% + Add Missing Composition(s),0.99,auto_candidate
Delayed Release Esomeprazole magnesium Eq.to Esomeprazole,Delayed Release Esomeprazole Magnesium Eq To Esomeprazole,6,Delayed Release Esomeprazole magnesium Eq.to Esomeprazole,0.99,auto_candidate
Delayed release pellets of esomeprazole magnesium eq. to Esomeprazole,Delayed Release Pellets of Esomeprazole Magnesium Eq To Esomeprazole,6,Delayed release pellets of esomeprazole magnesium eq. to Esomeprazole,0.99,auto_candidate
Diosmin (EP),Diosmin (ep),6,Diosmin (EP),0.99,auto_candidate
"Inactivated Infectious Bronchitis Virus, IBV Classical (Eg/11539F) & IBV Variant Type 2 (Eg/1212B)","Inactivated Infectious Bronchitis Virus, Ibv Classical (eg / 11539f) & Ibv Variant Type 2 (eg / 1212b)",6,"Inactivated Infectious Bronchitis Virus, IBV Classical (Eg/11539F) & IBV Variant Type 2 (Eg/1212B)",0.99,auto_candidate
Sodium Chloride + Trisodium Citrate Dihydrate + Potassium Chloride + Glucose Anhydrous,Sodium Chloride + Trisodium Citrate Dihydrate + Potassium Chloride + Glucose Anhydrous,6,Sodium Chloride + Trisodium Citrate Dihydrate + Potassium Chloride + Glucose Anhydrous,0.99,auto_candidate
Zin Sulphate Monohydrate eq.to Elemental Zinc,Zin Sulphate Monohydrate Eq To Elemental Zinc,6,Zin Sulphate Monohydrate eq.to Elemental Zinc,0.99,auto_candidate
Fusidic Acid/Betamethasone Valerate,Fusidic Acid / Betamethasone Valerate,6,Fusidic Acid/Betamethasone Valerate,0.96,auto_candidate
Each 5ml contains:- Iron (III) Hydroxide Polymaltose complex equivalent to elemental Iron…50mg,Each 5ml Contains:- Iron (iii) Hydroxide Polymaltose Complex Eq To Elemental Iron…50mg,6,Elemental Iron 100mg,0.92,review_candidate
------,------,5,eq. to elemental Iron,0.99,auto_candidate
"1 microgram of Saccharide for Serotype 1,5,6B,7F,9V, 14 and 23F and 3 micrograms of serotypes 4,18C and 19F","1 Microgram of Saccharide For Serotype 1,5,6b,7f,9v, 14 and 23f and 3 Micrograms of Serotypes 4,18c and 19f",5,"1 microgram of Saccharide for Serotype 1,5,6B,7F,9V, 14 and 23F and 3 micrograms of serotypes 4,18C and 19F",0.99,auto_candidate
"15 microgram of each strain H1,N1,H3,N2 and B per dose of 0.5ml","15 Microgram of Each Strain H1,n1,h3,n2 and B Per Dose of 0.5ml",5,"15 microgram of each strain H1,N1,H3,N2 and B per dose of 0.5ml",0.99,auto_candidate
a-keto analogue to isoleucine (calcium salt),A-keto Analogue To Isoleucine (calcium Salt),5,a-keto analogue to isoleucine (calcium salt),0.99,auto_candidate
a-keto analogue to leucine (calcium salt),A-keto Analogue To Leucine (calcium Salt),5,a-keto analogue to leucine (calcium salt),0.99,auto_candidate
a-keto analogue to methionine (calcium salt),A-keto Analogue To Methionine (calcium Salt),5,a-keto analogue to methionine (calcium salt),0.99,auto_candidate
a-keto analogue to phenylalanine (calcium salt),A-keto Analogue To Phenylalanine (calcium Salt),5,a-keto analogue to phenylalanine (calcium salt),0.99,auto_candidate
a-keto analogue to valine (calcium salt),A-keto Analogue To Valine (calcium Salt),5,a-keto analogue to valine (calcium salt),0.99,auto_candidate
Absorbed on Aluminium Phosphate (AIPO4),Absorbed On Aluminium Phosphate (aipo4),5,Absorbed on Aluminium Phosphate (AIPO4),0.99,auto_candidate
Acetaminophen.,Acetaminophen.,5,Acetaminophen.,0.99,auto_candidate
Acetaminphen (Paracetamol),Acetaminphen (paracetamol),5,Acetaminphen (Paracetamol),0.99,auto_candidate
Adsorbed on Aluminium Phosphate (AIPO4),Adsorbed On Aluminium Phosphate (aipo4),5,Adsorbed on Aluminium Phosphate (AIPO4),0.99,auto_candidate
Amprolium HCl + Furaltadone HCl + Vitamin K3,Amprolium Hcl + Furaltadone Hcl + Vitamin K3,5,Amprolium HCl + Furaltadone HCl + Vitamin K3,0.99,auto_candidate
Artemether .......40mg / Lumefantrine.......240mg,Artemether .......40mg / Lumefantrine.......240mg,5,Artemether .......40mg / Lumefantrine.......240mg,0.99,auto_candidate
Artemether ....80mg / Lumefantrine ....480,Artemether ....80mg / Lumefantrine ....480,5,Artemether ....80mg / Lumefantrine ....480,0.99,auto_candidate
Atorvastatin(calcium trihydrate),Atorvastatin(calcium Trihydrate),5,Atorvastatin(calcium trihydrate),0.99,auto_candidate
Attenuated Live Virus of avian infectious bursal disease (Gumboro Disease)intermediate Strain VMG 91,Attenuated Live Virus of Avian Infectious Bursal Disease (gumboro Disease)intermediate Strain Vmg 91,5,Attenuated Live Virus of avian infectious bursal disease (Gumboro Disease)intermediate Strain VMG 91,0.99,auto_candidate
Azihtromycin as dihydrate,Azihtromycin As Dihydrate,5,Azihtromycin as dihydrate,0.99,auto_candidate
b) Component P (fluid) Parvovirus enteritidis canis inact.,B) Component P (fluid) Parvovirus Enteritidis Canis Inact.,5,b) Component P (fluid) Parvovirus enteritidis canis inact.,0.99,auto_candidate
b) Liquid component: Leptospira icterohaemorrhagiae inact.,B) Liquid Component: Leptospira Icterohaemorrhagiae Inact.,5,b) Liquid component: Leptospira icterohaemorrhagiae inact.,0.99,auto_candidate
Benzyl Alcohol(as preservative),Benzyl Alcohol(as Preservative),5,Benzyl Alcohol(as preservative),0.99,auto_candidate
Betaxolol as HCl,Betaxolol As Hcl,5,Betaxolol as HCl,0.99,auto_candidate
Betaxolol HCl eq. to Betaxolol,Betaxolol Hcl Eq To Betaxolol,5,Betaxolol HCl eq. to Betaxolol,0.99,auto_candidate
Bisoprolol.,Bisoprolol.,5,Bisoprolol.,0.99,auto_candidate
Bovine Lipid Extract Surfactant (Phospolipid),Bovine Lipid Extract Surfactant (phospolipid),5,Bovine Lipid Extract Surfactant (Phospolipid),0.99,auto_candidate
"Calcium-3-methyl-2-oxovaleric acid (?-ketoanalogue to DL-isoleucine), calcium-salt","Calcium-3-methyl-2-oxovaleric Acid ( -ketoanalogue To Dl-isoleucine), Calcium-salt",5,"Calcium-3-methyl-2-oxovaleric acid (?-ketoanalogue to DL-isoleucine), calcium-salt",0.99,auto_candidate
"Calcium-4-methyl-2-oxovaleric acid (?-ketoanalogue to leucine), calcium-salt","Calcium-4-methyl-2-oxovaleric Acid ( -ketoanalogue To Leucine), Calcium-salt",5,"Calcium-4-methyl-2-oxovaleric acid (?-ketoanalogue to leucine), calcium-salt",0.99,auto_candidate
"Calcium2-oxo-3-phenylpropionic acid (?-ketoanalogue to phenylalanine), calcium-salt","Calcium2-oxo-3-phenylpropionic Acid ( -ketoanalogue To Phenylalanine), Calcium-salt",5,"Calcium2-oxo-3-phenylpropionic acid (?-ketoanalogue to phenylalanine), calcium-salt",0.99,auto_candidate
"Calcium3-methyl-2-oxobutyric acid (?-ketoanalogue to valine), calcium salt","Calcium3-methyl-2-oxobutyric Acid ( -ketoanalogue To Valine), Calcium Salt",5,"Calcium3-methyl-2-oxobutyric acid (?-ketoanalogue to valine), calcium salt",0.99,auto_candidate
Carded cotton fibres of not less than 10 mm average staple length (Cellulose),Carded Cotton Fibres of Not Less Than 10 Mm Average Staple Length (cellulose),5,Carded cotton fibres of not less than 10 mm average staple length (Cellulose),0.99,auto_candidate
Cefepime.,Cefepime.,5,cefepime as HCL,0.99,auto_candidate
Cefipime as HCl with L-A rginine,Cefipime As Hcl With L-a Rginine,5,Cefipime as HCl with L-Arginine,0.99,auto_candidate
Cefipime as HCl with L-Arginine,Cefipime As Hcl With L-arginine,5,Cefipime as HCl with L-Arginine,0.99,auto_candidate
Cefoeprazone (as Sodium) and Sulbactum (as Sodium),Cefoeprazone (as Sodium) and Sulbactum (as Sodium),5,Cefoeprazone (as Sodium) and Sulbactum (as Sodium),0.99,auto_candidate
"Cefoeprazone (as Sodium)......0.5gm, Sulbactum (as Sodium).........0.5gm","Cefoeprazone (as Sodium)......0.5gm, Sulbactum (as Sodium).........0.5gm",5,"Cefoeprazone (as Sodium)......0.5gm, Sulbactum (as Sodium).........0.5gm",0.99,auto_candidate
cefoperazone + sulbactam,Cefoperazone + Sulbactam,5,cefoperazone + sulbactam,0.99,auto_candidate
cefoperazone and sulbactam,Cefoperazone and Sulbactam,5,cefoperazone and sulbactam,0.99,auto_candidate
Cefoperazone as sodium + Sulbactam as sodium,Cefoperazone As Sodium + Sulbactam As Sodium,5,Cefoperazone as sodium + Sulbactam as sodium,0.99,auto_candidate
Cefoperazone Na / Sulbactum Na,Cefoperazone Na / Sulbactum Na,5,Cefoperazone Na / Sulbactum Na,0.99,auto_candidate
Cefoperazone sodium + Sulbactum sodium,Cefoperazone Sodium + Sulbactum Sodium,5,Cefoperazone sodium + Sulbactum sodium,0.99,auto_candidate
cefoperazone+ sulbactam,Cefoperazone + Sulbactam,5,cefoperazone + sulbactam,0.99,auto_candidate
cefoperazone+sulbactam,Cefoperazone + Sulbactam,5,cefoperazone + sulbactam,0.99,auto_candidate
Cefprodoxime (as Proxetil),Cefprodoxime (as Proxetil),5,Cefprodoxime (as Proxetil),0.99,auto_candidate
Ceftriaxone(as s0dium),Ceftriaxone(as S0dium),5,Ceftriaxone(as s0dium),0.99,auto_candidate
Cefuroxine as Sodium,Cefuroxine As Sodium,5,Cefuroxine as Sodium,0.99,auto_candidate
Cefxime (as Trihydrate),Cefxime (as Trihydrate),5,Cefxime (as Trihydrate),0.99,auto_candidate
cephradine 1 g with L-Arginine,Cephradine 1 G With L-arginine,5,cephradine 1 g with L-Arginine,0.99,auto_candidate
Cephradine 250 mg with L-Arginine,Cephradine 250 Mg With L-arginine,5,Cephradine 250 mg with L-Arginine,0.99,auto_candidate
Cephradine 500mg with L-Arginine,Cephradine 500mg With L-arginine,5,Cephradine 500mg with L-Arginine,0.99,auto_candidate
Chlorhexidine (as chlorhexidine digluconate solution 7.1%w/v),Chlorhexidine (as Chlorhexidine Digluconate Solution 7.1%w / V),5,Chlorhexidine (as chlorhexidine digluconate solution 7.1%w/v),0.99,auto_candidate
Chondroitin as sulphate,Chondroitin As Sulphate,5,Chondroitin as sulphate,0.99,auto_candidate
Chondroitin as Sulphate,Chondroitin As Sulphate,5,Chondroitin as sulphate,0.99,auto_candidate
Chondroiton as Sulphate,Chondroiton As Sulphate,5,Chondroiton as Sulphate,0.99,auto_candidate
Chromic Catgut Absorbable Suture With Needle,Chromic Catgut Absorbable Suture With Needle,5,Chromic Catgut Absorbable Suture With Needle,0.99,auto_candidate
Ciprofloxacin(as HCL),Ciprofloxacin(as Hcl),5,Ciprofloxacin(as HCL),0.99,auto_candidate
Cirpfloxacin HCl eq. to Ciprofloxacin,Cirpfloxacin Hcl Eq To Ciprofloxacin,5,Cirpfloxacin HCl eq. to Ciprofloxacin,0.99,auto_candidate
Cisatracurium as besylate,Cisatracurium As Besylate,5,Cisatracurium as besylate,0.99,auto_candidate
Clavulanate As Potassium,Clavulanate As Potassium,5,Clavulanate As Potassium,0.99,auto_candidate
Clindmaycin palmitate HC1 eq. to clindamycin,Clindmaycin Palmitate Hc1 Eq To Clindamycin,5,Clindmaycin palmitate HC1 eq. to clindamycin,0.99,auto_candidate
Clomiphene as Citrate,Clomiphene As Citrate,5,Clomiphene as Citrate,0.99,auto_candidate
Coated Polyglycolic Acid Braid With Fast Resorption,Coated Polyglycolic Acid Braid With Fast Resorption,5,Coated Polyglycolic Acid Braid With Fast Resorption,0.99,auto_candidate
"Composition (0.5mL/ dose) Inactivated Avian influenza virus (A/CK/Kor/01310/2001, CE20) (H9N2, 108.5EID50/0.1mL) ----------------------- 11%","Composition (0.5ml / Dose) Inactivated Avian Influenza Virus (a / Ck / Kor / 01310 / 2001, Ce20) (h9n2, 108.5eid50 / 0.1ml) ----------------------- 11%",5,"Composition (0.5mL/ dose) Inactivated Avian influenza virus (A/CK/Kor/01310/2001, CE20) (H9N2, 108.5EID50/0.1mL) ----------------------- 11%",0.99,auto_candidate
Cotton (Support Bandage),Cotton (support Bandage),5,Cotton (Support Bandage),0.99,auto_candidate
Cotton 100% (Support Bandage),Cotton 100% (support Bandage),5,Cotton 100% (Support Bandage),0.99,auto_candidate
Cyclobenzaprine (as HCl),Cyclobenzaprine (as Hcl),5,Cyclobenzaprine (as HCl),0.99,auto_candidate
Danofloxacin..,Danofloxacin..,5,Danofloxacin..,0.99,auto_candidate
Dexmedetomidine (as Dexmedetomidine HCl),Dexmedetomidine (as Dexmedetomidine Hcl),5,Dexmedetomidine (as Dexmedetomidine HCl),0.99,auto_candidate
"Di-Iodohydroxyquinolone 325mg,Metronidazole as benzoate 250mg","Di-iodohydroxyquinolone 325mg,metronidazole As Benzoate 250mg",5,"Di-Iodohydroxyquinolone 325mg,Metronidazole as benzoate 250mg",0.99,auto_candidate
Dinoprost as Trometamol,Dinoprost As Trometamol,5,Dinoprost as tromethamine,0.99,auto_candidate
Dinoprost as tromethamine,Dinoprost As Tromethamine,5,Dinoprost as tromethamine,0.99,auto_candidate
Divalproex as sodium,Divalproex As Sodium,5,Divalproex as sodium,0.99,auto_candidate
Dolutegravir as Dolutegravir Sodium 50mg,Dolutegravir As Dolutegravir Sodium 50mg,5,Dolutegravir as Dolutegravir Sodium 50mg,0.99,auto_candidate
Donepezil Hydrochloride.,Donepezil Hydrochloride.,5,Donepezil Hydrochloride.,0.99,auto_candidate
Doripenem Monohydrate eq to Doripenem,Doripenem Monohydrate Eq To Doripenem,5,Doripenem Monohydrate eq to Doripenem,0.99,auto_candidate
Doxazosin as Mesilate,Doxazosin As Mesilate,5,Doxazosin as Mesilate,0.99,auto_candidate
Dual delayed release Dexlansoprazole Pellets eq. to Dexlansoprazole,Dual Delayed Release Dexlansoprazole Pellets Eq To Dexlansoprazole,5,Dual delayed release Dexlansoprazole Pellets eq. to Dexlansoprazole,0.99,auto_candidate
Duloxtine (as HCl) enteric coated pellets,Duloxtine (as Hcl) Enteric Coated Pellets,5,Duloxtine (as HCl) enteric coated pellets,0.99,auto_candidate
Each Ampoule Contains :Lincomycin (as HCl),Each Ampoule Contains :lincomycin (as Hcl),5,Each Ampoule Contains :Lincomycin (as HCl),0.99,auto_candidate
Each enteric coated tablet contains: Esomeprazole Magnesium trihydrate eq. to Esomeprazole,Each Enteric Coated Tablet Contains: Esomeprazole Magnesium Trihydrate Eq To Esomeprazole,5,Each enteric coated tablet contains: Esomeprazole Magnesium trihydrate eq. to Esomeprazole,0.99,auto_candidate
Each ml contains: Clindamycin as Phosphate …..150mg,Each Ml Contains: Clindamycin As Phosphate …..150mg,5,Each ml contains: Clindamycin as Phosphate …..150mg,0.99,auto_candidate
Each ml contains: Infectious Bursal disease virus (GP 12) …….Inducing ≥ 3000 ELISA Units,Each Ml Contains: Infectious Bursal Disease Virus (gp 12) …….inducing ≥ 3000 Elisa Units,5,Each ml contains: Infectious Bursal disease virus (GP 12) …….Inducing ≥ 3000 ELISA Units,0.99,auto_candidate
Each one dose (one ml) contains: a) Component D (freeze-dried) Virus febris contagiosae canis,Each One Dose (one Ml) Contains: A) Component D (freeze-dried) Virus Febris Contagiosae Canis,5,Each one dose (one ml) contains: a) Component D (freeze-dried) Virus febris contagiosae canis,0.99,auto_candidate
